Ticker,Name,Country,Market,Ticker_mkt,Market_Cap
NVDA,NVIDIA Corporation,United States,Nasdaq,^IXIC,4.62988E+12
AAPL,Apple Inc.,United States,Nasdaq,^IXIC,4.03985E+12
GOOG,Alphabet Inc. Class C Capital Stock,United States,Nasdaq,^IXIC,3.80062E+12
GOOGL,Alphabet Inc. Class A,United States,Nasdaq,^IXIC,3.78313E+12
MSFT,Microsoft Corporation,United States,Nasdaq,^IXIC,3.62484E+12
AMZN,Amazon.com Inc.,United States,Nasdaq,^IXIC,2.48569E+12
META,Meta Platforms Inc. Class A,United States,Nasdaq,^IXIC,1.67184E+12
AVGO,Broadcom Inc.,United States,Nasdaq,^IXIC,1.66954E+12
TSLA,Tesla Inc.,United States,Nasdaq,^IXIC,1.5804E+12
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Taiwan,NYSE,^GSPC,1.57069E+12
BRK-B,Berkshire Hathaway Inc.,United States,NYSE,^GSPC,1.0994E+12
BRK-A,Berkshire Hathaway Inc.,United States,NYSE,^GSPC,1.09874E+12
LLY,Eli Lilly and Company,United States,NYSE,^GSPC,1.01889E+12
JPM,JP Morgan Chase & Co.,United States,NYSE,^GSPC,8.92657E+11
WMT,Walmart Inc.,United States,Nasdaq,^IXIC,8.90586E+11
V,Visa Inc.,United States,NYSE,^GSPC,6.83632E+11
ORCL,Oracle Corporation,United States,NYSE,^GSPC,5.68851E+11
MA,Mastercard Incorporated,United States,NYSE,^GSPC,5.20478E+11
XOM,Exxon Mobil Corporation,United States,NYSE,^GSPC,5.02307E+11
JNJ,Johnson & Johnson,United States,NYSE,^GSPC,5.00242E+11
PLTR,Palantir Technologies Inc. Class A,United States,Nasdaq,^IXIC,4.49778E+11
ASML,ASML Holding N.V. New York Registry Shares,Netherlands,Nasdaq,^IXIC,4.21895E+11
BAC,Bank of America Corporation,United States,NYSE,^GSPC,4.10181E+11
ABBV,AbbVie Inc.,United States,NYSE,^GSPC,4.06463E+11
NFLX,Netflix Inc.,United States,Nasdaq,^IXIC,4.003E+11
COST,Costco Wholesale Corporation,United States,Nasdaq,^IXIC,3.87653E+11
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,NYSE,^GSPC,3.51565E+11
AMD,Advanced Micro Devices Inc.,United States,Nasdaq,^IXIC,3.50013E+11
HD,Home Depot Inc. (The),United States,NYSE,^GSPC,3.4821E+11
PG,Procter & Gamble Company (The),United States,NYSE,^GSPC,3.38219E+11
GE,GE Aerospace,United States,NYSE,^GSPC,3.32414E+11
MU,Micron Technology Inc.,United States,Nasdaq,^IXIC,3.20534E+11
CSCO,Cisco Systems Inc. (DE),United States,Nasdaq,^IXIC,3.08818E+11
SAP,SAP  SE ADS,Germany,NYSE,^GSPC,3.029E+11
CVX,Chevron Corporation,United States,NYSE,^GSPC,3.02069E+11
UNH,UnitedHealth Group Incorporated (DE),United States,NYSE,^GSPC,3.00584E+11
KO,Coca-Cola Company (The),United States,NYSE,^GSPC,3.00553E+11
WFC,Wells Fargo & Company,United States,NYSE,^GSPC,2.99029E+11
MS,Morgan Stanley,United States,NYSE,^GSPC,2.89048E+11
AZN,AstraZeneca PLC American Depositary Shares,United Kingdom,Nasdaq,^IXIC,2.88125E+11
IBM,International Business Machines Corporation,United States,NYSE,^GSPC,2.85178E+11
TM,Toyota Motor Corporation,Japan,NYSE,^GSPC,2.82666E+11
NVS,Novartis AG,Switzerland,NYSE,^GSPC,2.74893E+11
HSBC,HSBC Holdings plc.,United Kingdom,NYSE,^GSPC,2.74701E+11
CAT,Caterpillar Inc.,United States,NYSE,^GSPC,2.72832E+11
GS,Goldman Sachs Group Inc. (The),United States,NYSE,^GSPC,2.72047E+11
MRK,Merck & Company Inc. (new),United States,NYSE,^GSPC,2.6503E+11
AXP,American Express Company,United States,NYSE,^GSPC,2.62487E+11
PM,Philip Morris International Inc,United States,NYSE,^GSPC,2.50697E+11
CRM,Salesforce Inc.,United States,NYSE,^GSPC,2.49317E+11
RTX,RTX Corporation,United States,NYSE,^GSPC,2.48271E+11
APP,Applovin Corporation Class A,United States,Nasdaq,^IXIC,2.41378E+11
RY,Royal Bank Of Canada,Canada,NYSE,^GSPC,2.4015E+11
NVO,Novo Nordisk A/S,Denmark,NYSE,^GSPC,2.33966E+11
TMUS,T-Mobile US Inc.,United States,Nasdaq,^IXIC,2.2482E+11
